UserId,AttractionId,Rating,VisitMode,AttractionTypeId_x,CityId,CountryId,RegionId,ContinentId,season,month,year,user_total_visits,user_avg_rating,attraction_popularity,date
58995,640,5,3,63,1434.0,109,15,4,winter,1,2020,2,5.0,13198,2020-01-01
75223,640,5,2,63,4646.0,109,15,4,winter,2,2020,1,5.0,13198,2020-02-01
11099,640,5,2,63,780.0,163,21,5,winter,2,2020,4,4.5,13198,2020-02-01
39393,640,5,2,63,545.0,48,8,2,winter,2,2020,1,5.0,13198,2020-02-01
4453,640,5,2,63,6609.0,144,19,5,winter,2,2020,1,5.0,13198,2020-02-01
53132,640,3,2,63,2111.0,109,15,4,winter,2,2020,3,3.6666666666666665,13198,2020-02-01
34227,640,5,2,63,7977.0,163,21,5,winter,2,2020,1,5.0,13198,2020-02-01
18600,640,4,4,63,426.0,163,21,5,winter,2,2020,1,4.0,13198,2020-02-01
78886,640,5,3,63,1434.0,109,15,4,winter,1,2020,1,5.0,13198,2020-01-01
18325,640,1,4,63,2282.0,69,11,3,winter,2,2020,4,1.25,13198,2020-02-01
30475,640,5,5,63,441.0,48,8,2,winter,2,2020,2,5.0,13198,2020-02-01
51292,640,4,2,63,8688.0,163,21,5,winter,2,2020,2,4.0,13198,2020-02-01
74902,640,2,2,63,8314.0,163,21,5,winter,2,2020,1,2.0,13198,2020-02-01
30233,640,5,4,63,6062.0,127,17,5,winter,2,2020,1,5.0,13198,2020-02-01
42707,640,4,2,63,859.0,51,8,2,winter,2,2020,1,4.0,13198,2020-02-01
25682,640,5,2,63,384.0,48,8,2,winter,2,2020,3,4.666666666666667,13198,2020-02-01
38154,640,5,4,63,6544.0,142,19,5,spring,5,2019,3,5.0,13198,2019-05-01
44234,640,5,5,63,616.0,50,8,2,winter,2,2020,1,5.0,13198,2020-02-01
22217,640,5,4,63,682.0,51,8,2,winter,2,2020,1,5.0,13198,2020-02-01
12892,640,5,2,63,1320.0,51,8,2,winter,2,2020,1,5.0,13198,2020-02-01
47829,640,5,2,63,8315.0,163,21,5,winter,1,2020,4,4.75,13198,2020-01-01
21300,640,2,4,63,3013.0,101,14,3,winter,2,2020,2,3.5,13198,2020-02-01
17884,640,5,4,63,426.0,163,21,5,autumn,10,2019,1,5.0,13198,2019-10-01
53500,640,4,5,63,3567.0,107,14,3,winter,2,2020,2,4.0,13198,2020-02-01
76106,640,5,3,63,386.0,163,21,5,winter,2,2020,3,4.666666666666667,13198,2020-02-01
47053,640,5,4,63,3687.0,109,15,4,winter,2,2020,2,5.0,13198,2020-02-01
85394,640,4,3,63,5556.0,115,16,4,spring,3,2019,2,4.5,13198,2019-03-01
87911,640,5,2,63,1552.0,51,8,2,winter,1,2020,1,5.0,13198,2020-01-01
75196,640,3,3,63,5748.0,122,17,5,winter,1,2020,3,3.3333333333333335,13198,2020-01-01
85613,640,5,3,63,1434.0,109,15,4,winter,1,2020,1,5.0,13198,2020-01-01
9756,640,3,5,63,3687.0,109,15,4,winter,1,2020,1,3.0,13198,2020-01-01
85188,640,4,4,63,3285.0,101,14,3,winter,1,2020,1,4.0,13198,2020-01-01
21447,640,4,4,63,426.0,163,21,5,winter,1,2020,1,4.0,13198,2020-01-01
70281,640,5,2,63,8513.0,163,21,5,winter,1,2020,2,5.0,13198,2020-01-01
68787,640,5,2,63,2024.0,51,8,2,winter,1,2020,4,4.75,13198,2020-01-01
4179,640,4,3,63,2670.0,93,13,3,winter,1,2020,1,4.0,13198,2020-01-01
58932,640,5,2,63,8449.0,163,21,5,winter,1,2020,2,5.0,13198,2020-01-01
5021,640,4,4,63,1434.0,109,15,4,winter,1,2020,6,4.0,13198,2020-01-01
82983,640,4,5,63,3750.0,109,15,4,winter,1,2020,1,4.0,13198,2020-01-01
19681,640,3,3,63,535.0,109,15,4,winter,1,2020,1,3.0,13198,2020-01-01
23890,640,3,3,63,6424.0,141,19,5,winter,1,2020,1,3.0,13198,2020-01-01
75107,640,5,2,63,1267.0,51,8,2,winter,1,2020,1,5.0,13198,2020-01-01
20362,640,5,2,63,1396.0,163,21,5,winter,1,2020,2,3.5,13198,2020-01-01
48488,640,5,5,63,1434.0,109,15,4,winter,1,2020,2,5.0,13198,2020-01-01
39504,640,5,2,63,3458.0,105,14,3,winter,1,2020,2,3.5,13198,2020-01-01
34060,640,5,3,63,3140.0,101,14,3,winter,1,2020,2,5.0,13198,2020-01-01
